2024-05-23 21:46:17 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'n1-standard-8')]/ancestor::li]clicked
2024-05-23 21:46:17 INFO  :75 - machine type 'n1-standard-8' selected
2024-05-23 21:46:17 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //button[contains(@aria-label, 'Add GPUs')]/ancestor::div[4]]
2024-05-23 21:46:17 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //button[contains(@aria-label, 'Add GPUs')]/ancestor::div[4]]clicked
2024-05-23 21:46:17 INFO  :80 - Added GPUS 'true' selected
2024-05-23 21:46:17 INFO  :39 - Trying to click web element Proxy element for: DefaultElementLocator 'By.xpath: //span[contains(text(), 'GPU Model')]/ancestor::div[2]'
2024-05-23 21:46:18 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (081b83b2-3a9a-4da4-bd1d-6fcb6b340487)] -> xpath: //span[contains(text(), 'GPU Model')]/ancestor::div[2]]clicked
2024-05-23 21:47:11 INFO  :24 - Google Cloud homepage opened
2024-05-23 21:47:21 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (837f44ac-4517-403d-923c-6f03523f4468)] -> xpath: //div[@jsname='Ohx1pb']]
2024-05-23 21:47:21 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (837f44ac-4517-403d-923c-6f03523f4468)] -> xpath: //div[@jsname='Ohx1pb']]clicked
2024-05-23 21:47:22 INFO  :37 - Search request + 'Google Cloud Pricing Calculator' sent
2024-05-23 21:47:23 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (837f44ac-4517-403d-923c-6f03523f4468)] -> xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]]
2024-05-23 21:47:24 INFO  :50 - Web element Proxy element for: DefaultElementLocator 'By.xpath: //a[contains(text(), 'Google Cloud Pricing Calculator')]'clicked
2024-05-23 21:47:24 INFO  :26 - Google Cloud Pricing Calculator page opened
2024-05-23 21:47:25 INFO  :35 - [[FirefoxDriver: firefox on windows (837f44ac-4517-403d-923c-6f03523f4468)] -> xpath: //c-wiz[1]//button] clicked
2024-05-23 21:47:25 INFO  :35 - [[FirefoxDriver: firefox on windows (837f44ac-4517-403d-923c-6f03523f4468)] -> xpath: //div[h2/text()='Compute Engine']] clicked
2024-05-23 21:47:26 INFO  :56 - Number of instances '4' selected
2024-05-23 21:47:26 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (837f44ac-4517-403d-923c-6f03523f4468)] -> xpath: //span[contains(text(), 'Operating System / Software')]/ancestor::div[2]]
2024-05-23 21:47:27 INFO  :50 - Web element [[FirefoxDriver: firefox on windows (837f44ac-4517-403d-923c-6f03523f4468)] -> xpath: //span[contains(text(), 'Operating System / Software')]/ancestor::div[2]]clicked
2024-05-23 21:47:27 INFO  :39 - Trying to click web element [[FirefoxDriver: firefox on windows (837f44ac-4517-403d-923c-6f03523f4468)] -> xpath: //span[contains(text(), 'Free: Debian, CentOS, CoreOS, Ubuntu or BYOL (Bring Your Own License)')]/ancestor::li]
